Authors;Scores
Groen M.;0.67
Ait-Alla A.;0.67
Korobenko A.;0.67
Fischer E.;0.67
Olsson B.;0.67
Epple U.;0.67
Gamez R.;0.66
Masood T.;0.66
Shah P.;0.66
Popper J.;0.66
Demkovich N.;0.66
Sujová E.;0.66
Silva J.M.;0.66
Promyoo R.;0.66
Mario C.;0.66
Yacob F.;0.66
Kostenko D.;0.66
Catarci T.;0.66
Bohlin R.;0.66
Ji P.;0.66
Kraß B.;0.65
Panarotto M.;0.64
Xia Y.;0.64
Monizza G.P.;0.64
Ma L.;0.64
Rahman S.M.;0.64
Yan Y.;0.64
Ryu K.;0.64
MacChi M.;0.64
Rovere D.;0.63
Henjes J.;0.63
Liu W.;0.63
Gurjanov A.V.;0.63
Baskaran S.;0.63
Ananthanarayan K.;0.63
Percoco G.;0.63
Favaloro A.J.;0.62
Revetria R.;0.62
Knoll A.;0.62
Huang H.;0.62
Manzini R.;0.62
Freiberger S.;0.62
Tao W.;0.62
Ota J.;0.61
Qin S.;0.61
Poon J.;0.61
Oneto L.;0.61
Keller A.;0.61
Valiev A.;0.61
Hedberg T.;0.61
Meng S.;0.61
Park S.H.;0.60
Aivaliotis S.;0.60
Korolev A.A.;0.60
Terkaj W.;0.60
Zoitl A.;0.60
Butala P.;0.60
Yang Y.;0.60
Illés B.;0.59
Fang X.;0.59
Adli H.;0.59
Firmani D.;0.58
Swan J.;0.58
Wang G.;0.58
Lenz L.T.;0.58
Assila A.;0.58
Senington R.;0.58
Barbosa A.S.;0.58
Zeidler F.;0.58
Ke S.;0.58
Wei C.-C.;0.58
Wiegand G.;0.58
Riesener M.;0.58
Thoresen K.E.;0.58
Rassolkin A.;0.58
Lydon G.P.;0.58
Karadeniz A.M.;0.58
Ngo D.;0.58
Tong X.;0.58
Merkle L.;0.58
Laborie F.;0.58
Carlier A.;0.58
Lock C.;0.58
Ye Y.;0.58
Tarasov A.;0.57
Lamine E.;0.57
Kim M.-H.;0.57
Graube M.;0.57
Reschke J.;0.57
Usländer T.;0.57
Maffei A.;0.57
Dolle C.;0.57
Eleftherios K.D.;0.57
Cruz R.;0.57
Babu S.S.;0.57
Ingraffea A.;0.57
